id,articulo,clase

66,Estrella es eliminado en el torneo de Viena El dominicano Víctor Estrella Burgos  quien este año llegó hasta la tercera ronda del Abierto de Estados Unidos  cayó ante Viktor Troicki por 6-0  6-3 el martes en el torneo de tenis de Viena.      De su lado  el croata Ivo Karlovic levantó tres puntos de partido en el segundo set y al final derrotó al argentino Federico Delbonis por 6-7 (1)  7-6 (9)  7-6 (2).Karlovic  séptimo preclasificado  logró 29 aces en un partido que requirió de tres desempates y en el que ninguno de los jugadores sufrió un quiebre.En la segunda ronda enfrentará al dos veces ganador de este torneo  el alemán Jurgen Melzer o al eslovaco Norbert Gombos.En otro partido de primera ronda  el alemán Jan-Lennard Struff venció al español Guillermo García-López por 6-3  6-4.,si

67,Provincia Duarte gana la Coca Cacao El equipo representante de la Provincia Duarte ganó invicto la Copa Cacao de baloncesto U17  celebrada el pasado fin de semana en el pabellón Mario Ortega  de esta ciudad  con la participación de las provincias María Trinidad Sánchez  Hermanas Mirabal  Sánchez Ramírez  Samaná y la anfitriona  Duarte.La Copa Cacao es un evento deportivo  que como su nombre lo señala  tiene como propósito resaltar este importante rubro de la provincia Duarte  y que es común en las demás provincias del Nordeste  el cacao. Este año fue dedicado al doctor Héctor Rizek  símbolo del cacao en la República Dominicana y el mundo; quien preside el Grupo Rizek  que ha incursionado de manera en el desarrollo deportivo de la región  propietarios de las franquicias profesionales del béisbol y baloncesto con cede en esta ciudad.La etapa final de la Copa Cacao se realizaron el pasado domingo; a primera hora se disputó el tercer lugar entre los equipos de Samaná y María Trinidad Sánchez  obteniendo la victoria estos ...,si

68,Golfistas más famosos en Twitter! Nadie puede ocultar que las redes sociales son un verdadero fenómeno de comunicación  incluso llegando a convertirse en la fuente primaria de información y de noticias. Pero la pluralidad del Twitter y su fácil manejo es lo que convierte a esta red social en la favorita de los golfistas (y profesionales de otros deportes). Esta red social les permite a los fanáticos un intercambio directo con la fuente de información primaria (el jugador mismo)  e incluso hace que cualquier “mortal” pueda convertirse en tendencia  debido a la cantidad de repeticiones (Retwitts) que podría recibir. Quisimos conocer cuáles son los golfistas que más seguidores tienen tanto a nivel latinoamericano como del resto del mundo  y esto es lo que encontramos a la fecha:Latinos5- Julieta Granada -@JulietaGranada  7 864 seguidores -Siendo una fuerza hasta cierto punto dominante en el LPGA Tour (por lo menos para los latinoamericanos)  la jugadora oriunda del Paraguay mantiene un buen contacto con sus seguidores ...,si

69,Los Calvo harán una exposición fotografìas Los veteranos reporteros gráficos Raúl y Víctor Calvo  padre e hijo  harán este miércoles una exposición benéfica. La exposición fotográfica será celebrada en el nivel de feria del Centro Comercial Sambil  a partir de las 6:00 de la tarde de este miércoles. Lo recaudado en la exposición  denominada “Batea Por Un Sueño”  será destinado a la fundación de limpiabotas y niños de escasos recursos “Ayúdame a Seguir”.Raúl y Víctor Calvo  con una vasta experiencia en el periodismo gráfico deportivo  exhortaron a la ciudadanía a que asista a la actividad para que puedan palpar en gráficas los momentos más memorables de la temporada de béisbol invernal 2013-2014. Manifestaron que personalidades del mundo del béisbol profesional dominicano  como peloteros  directivos y ejecutivos de los seis equipos (Tigres del Licey  Leones del Escogido  Estrellas Orientales  Toros del Este  Águilas Cibaeñas y Gigantes de San Francisco) estarán presentes en la exposición.En la actividad serán exhibidos trofeo...,si

70,América Latina como potencial en el golf Hola Fiebruses. Quienes seguimos el golf desde hace tiempo (ya me cuento entre ellos  pues tengo 15 años abrazado al golf y diez en estos menesteres de investigación)  vemos con alegría la preponderancia que está teniendo nuestra América Latina en cuanto al golf respecta.Hace solo 10 o 15 años que  desde el punto de vista del deporte  Latinoamérica no era una potencia en desarrollo. A pesar de que el hemisferio cuenta con jugadores leyendas (Vicente Fernández  Chi Chí Rodríguez  Roberto DeVicenzo  entre otros)  nunca se había experimentado el crecimiento que hoy se ve en LA. Países con una gran tradición de golf como Argentina  Paraguay  Chile y Colombia  hoy día comparten la supremacía del golf latino con otros que hace poco ni imaginaban que el golf iba a convertirse en un deporte tan seguido por el mundo  y que llegaría a ser uno de los puntales económicos para cualquier país.Pero creo que lo que ha hecho crecer exponencialmente el golf es la facilidad con que contamos para su p...,si

71,Dos triples en un partido de Serie Mundial Disparar dos triples en un partido de Serie Mundial es un caso difícil de materializar en la historia de estos clásicos. En apenas seis ocasiones un pelotero ha conectado dos batazos de tres bases en un encuentro. El primero en realizarlo fue Tommy Leach  antesalista de los Piratas de Pittsburgh  quien lo realizó en el primer choque celebrado en Serie Mundial frente a Boston  el jueves primero de octubre de 1903. Este primer encuentro fue ganado por los visitantes  que en este caso fue Pittsburgh 7ñ3. Luego en esta misma serie  pero en el séptimo partido celebrado el miércoles siete de octubre el jardinero derecho de Boston  Patsy Dougherty disparó dos triples y un sencillo para conducir a su equipo a una victoria de 11ñ2 y como caso extraño este jugador no anotó en ninguna de esas tres ocasiones que llegó a la inicial  remolcó tres carreras. Esta ha sido la única ocasión que en una Serie Mundial dos jugadores hayan conectado cada uno dos triples en un partido. Las otras que esto se...,si

72,Cristóbal Marte presidirá ceremonial El licenciado Cristóbal Marte  destacado dirigente deportivo será el Presidente de Honor del Cuadragésimo Octavo Ceremonial del Pabellón de la Fama  informó ayer la institución.Marte Hoffiz  quien actualmente ocupa la presidencia de la Confederación Norte  Centroamericana y del Caribe (Norceca) de Voleibol y es Primer vicepresidente de la Federación Internacional de Voleibol (FIVB)   presidirá dicho evento en reconocimiento de los relevantes  éxitos obtenidos en el plano dirigencial a nivel nacional e internacional y los logros alcanzados como promotor y director del Proyecto Nacional de Volibol Femenino.El doctor Luis Scheker Ortiz  Presidente del Comité Permanente del Pabellón de la Fama  recordó que el Ceremonial será celebrado el próximo domingo 19  a partir de las 10:00 de la mañana en el auditorio principal del organismo  ubicado en el Centro Olímpico Juan Pablo Duarte. Los atletas a ser exaltados en el próximo ceremonial serán los ex beisbolistas profesionales Moisés Alou y R...,si

73,Perú gana latinoamericano; Castro fue campeona en U-13 La dominicana Esmerlin Castro venció por 3-1 a Beatriz Kimoto  de Brasil  en la división U-13 femenina  llenando de júbilo la Gran Arena del Cibao  tras ganar la medalla de oro de la categoría en la culminación del IX torneo Latinoamericano de Tenis de Mesa para los anfitriones.Castro fue la máxima figura dominicana  terminando invicta y con dos medallas de oro  en un torneo dominado por Perú que se llevó el título de campeón general  tras imponer su fortaleza en la etapa de dobles del certamen. Otros campeones individuales de la justa fueron Lisa Palacios  de Venezuela  que se impuso a Jaury Sánchez  de Puerto Rico  en la final de la U-11.En la rama masculina  Jacobo Vahnish  de Panamá le ganó la final a Carlos Fernández  de Perú y la U-13 masculina  fue ganada por  Rafael Torino (Brasil)  sobre Guillermo Casio de México.La clasificación general por países fue dominada por la delegación peruana  que acumuló mil 220 puntos  a lo largo del certamen que reunió a más de 220 atletas de...,si

