id,articulo,clase
66,Estrella es eliminado en el torneo de Viena El dominicano Víctor Estrella Burgos  quien este año llegó hasta la tercera ronda del Abierto de Estados Unidos  cayó ante Viktor Troicki por 6-0  6-3 el martes en el torneo de tenis de Viena.      De su lado  el croata Ivo Karlovic levantó tres puntos de partido en el segundo set y al final derrotó al argentino Federico Delbonis por 6-7 (1)  7-6 (9)  7-6 (2).Karlovic  séptimo preclasificado  logró 29 aces en un partido que requirió de tres desempates y en el que ninguno de los jugadores sufrió un quiebre.En la segunda ronda enfrentará al dos veces ganador de este torneo  el alemán Jurgen Melzer o al eslovaco Norbert Gombos.En otro partido de primera ronda  el alemán Jan-Lennard Struff venció al español Guillermo García-López por 6-3  6-4.,si
67,Provincia Duarte gana la Coca Cacao El equipo representante de la Provincia Duarte ganó invicto la Copa Cacao de baloncesto U17  celebrada el pasado fin de semana en el pabellón Mario Ortega  de esta ciudad  con la participación de las provincias María Trinidad Sánchez  Hermanas Mirabal  Sánchez Ramírez  Samaná y la anfitriona  Duarte.La Copa Cacao es un evento deportivo  que como su nombre lo señala  tiene como propósito resaltar este importante rubro de la provincia Duarte  y que es común en las demás provincias del Nordeste  el cacao. Este año fue dedicado al doctor Héctor Rizek  símbolo del cacao en la República Dominicana y el mundo; quien preside el Grupo Rizek  que ha incursionado de manera en el desarrollo deportivo de la región  propietarios de las franquicias profesionales del béisbol y baloncesto con cede en esta ciudad.La etapa final de la Copa Cacao se realizaron el pasado domingo; a primera hora se disputó el tercer lugar entre los equipos de Samaná y María Trinidad Sánchez  obteniendo la victoria estos ...,si
68,Golfistas más famosos en Twitter! Nadie puede ocultar que las redes sociales son un verdadero fenómeno de comunicación  incluso llegando a convertirse en la fuente primaria de información y de noticias. Pero la pluralidad del Twitter y su fácil manejo es lo que convierte a esta red social en la favorita de los golfistas (y profesionales de otros deportes). Esta red social les permite a los fanáticos un intercambio directo con la fuente de información primaria (el jugador mismo)  e incluso hace que cualquier “mortal” pueda convertirse en tendencia  debido a la cantidad de repeticiones (Retwitts) que podría recibir. Quisimos conocer cuáles son los golfistas que más seguidores tienen tanto a nivel latinoamericano como del resto del mundo  y esto es lo que encontramos a la fecha:Latinos5- Julieta Granada -@JulietaGranada  7 864 seguidores -Siendo una fuerza hasta cierto punto dominante en el LPGA Tour (por lo menos para los latinoamericanos)  la jugadora oriunda del Paraguay mantiene un buen contacto con sus seguidores ...,si
69,Los Calvo harán una exposición fotografìas Los veteranos reporteros gráficos Raúl y Víctor Calvo  padre e hijo  harán este miércoles una exposición benéfica. La exposición fotográfica será celebrada en el nivel de feria del Centro Comercial Sambil  a partir de las 6:00 de la tarde de este miércoles. Lo recaudado en la exposición  denominada “Batea Por Un Sueño”  será destinado a la fundación de limpiabotas y niños de escasos recursos “Ayúdame a Seguir”.Raúl y Víctor Calvo  con una vasta experiencia en el periodismo gráfico deportivo  exhortaron a la ciudadanía a que asista a la actividad para que puedan palpar en gráficas los momentos más memorables de la temporada de béisbol invernal 2013-2014. Manifestaron que personalidades del mundo del béisbol profesional dominicano  como peloteros  directivos y ejecutivos de los seis equipos (Tigres del Licey  Leones del Escogido  Estrellas Orientales  Toros del Este  Águilas Cibaeñas y Gigantes de San Francisco) estarán presentes en la exposición.En la actividad serán exhibidos trofeo...,si
70,América Latina como potencial en el golf Hola Fiebruses. Quienes seguimos el golf desde hace tiempo (ya me cuento entre ellos  pues tengo 15 años abrazado al golf y diez en estos menesteres de investigación)  vemos con alegría la preponderancia que está teniendo nuestra América Latina en cuanto al golf respecta.Hace solo 10 o 15 años que  desde el punto de vista del deporte  Latinoamérica no era una potencia en desarrollo. A pesar de que el hemisferio cuenta con jugadores leyendas (Vicente Fernández  Chi Chí Rodríguez  Roberto DeVicenzo  entre otros)  nunca se había experimentado el crecimiento que hoy se ve en LA. Países con una gran tradición de golf como Argentina  Paraguay  Chile y Colombia  hoy día comparten la supremacía del golf latino con otros que hace poco ni imaginaban que el golf iba a convertirse en un deporte tan seguido por el mundo  y que llegaría a ser uno de los puntales económicos para cualquier país.Pero creo que lo que ha hecho crecer exponencialmente el golf es la facilidad con que contamos para su p...,si
71,Dos triples en un partido de Serie Mundial Disparar dos triples en un partido de Serie Mundial es un caso difícil de materializar en la historia de estos clásicos. En apenas seis ocasiones un pelotero ha conectado dos batazos de tres bases en un encuentro. El primero en realizarlo fue Tommy Leach  antesalista de los Piratas de Pittsburgh  quien lo realizó en el primer choque celebrado en Serie Mundial frente a Boston  el jueves primero de octubre de 1903. Este primer encuentro fue ganado por los visitantes  que en este caso fue Pittsburgh 7ñ3. Luego en esta misma serie  pero en el séptimo partido celebrado el miércoles siete de octubre el jardinero derecho de Boston  Patsy Dougherty disparó dos triples y un sencillo para conducir a su equipo a una victoria de 11ñ2 y como caso extraño este jugador no anotó en ninguna de esas tres ocasiones que llegó a la inicial  remolcó tres carreras. Esta ha sido la única ocasión que en una Serie Mundial dos jugadores hayan conectado cada uno dos triples en un partido. Las otras que esto se...,si
72,Cristóbal Marte presidirá ceremonial El licenciado Cristóbal Marte  destacado dirigente deportivo será el Presidente de Honor del Cuadragésimo Octavo Ceremonial del Pabellón de la Fama  informó ayer la institución.Marte Hoffiz  quien actualmente ocupa la presidencia de la Confederación Norte  Centroamericana y del Caribe (Norceca) de Voleibol y es Primer vicepresidente de la Federación Internacional de Voleibol (FIVB)   presidirá dicho evento en reconocimiento de los relevantes  éxitos obtenidos en el plano dirigencial a nivel nacional e internacional y los logros alcanzados como promotor y director del Proyecto Nacional de Volibol Femenino.El doctor Luis Scheker Ortiz  Presidente del Comité Permanente del Pabellón de la Fama  recordó que el Ceremonial será celebrado el próximo domingo 19  a partir de las 10:00 de la mañana en el auditorio principal del organismo  ubicado en el Centro Olímpico Juan Pablo Duarte. Los atletas a ser exaltados en el próximo ceremonial serán los ex beisbolistas profesionales Moisés Alou y R...,si
73,Perú gana latinoamericano; Castro fue campeona en U-13 La dominicana Esmerlin Castro venció por 3-1 a Beatriz Kimoto  de Brasil  en la división U-13 femenina  llenando de júbilo la Gran Arena del Cibao  tras ganar la medalla de oro de la categoría en la culminación del IX torneo Latinoamericano de Tenis de Mesa para los anfitriones.Castro fue la máxima figura dominicana  terminando invicta y con dos medallas de oro  en un torneo dominado por Perú que se llevó el título de campeón general  tras imponer su fortaleza en la etapa de dobles del certamen. Otros campeones individuales de la justa fueron Lisa Palacios  de Venezuela  que se impuso a Jaury Sánchez  de Puerto Rico  en la final de la U-11.En la rama masculina  Jacobo Vahnish  de Panamá le ganó la final a Carlos Fernández  de Perú y la U-13 masculina  fue ganada por  Rafael Torino (Brasil)  sobre Guillermo Casio de México.La clasificación general por países fue dominada por la delegación peruana  que acumuló mil 220 puntos  a lo largo del certamen que reunió a más de 220 atletas de...,si
74,SJM  Duarte y Naco ganan copa de judo Las representaciones de San Juan de la Maguana  Provincia Duarte y el Club Judo Naco se llevaron los máximos honores de la Copa Internacional Judo celebrada en el salón principal del club Naco.Con un total de 160 puntos  la selección de San Juan de la Maguana ocupó el primer lugar  mientras que la Provincia Duarte logró el segundo puesto  con 136 tantos  y tercero quedó el Club Judo Naco  con 129 puntos.La Provincia Santo Domingo  con 95 puntos  finalizó en la cuarta posición del certamen  que reunió a unos 500 competidores de distintos puntos del país y de Puerto Rico.Los judocas sanjuaneros acumularon 11 medallas de oro  cinco de plata y tres de bronce; la provincia Duarte logró siete preseas doradas  tres de plata y nueve de bronce  mientras que Judo Naco obtuvo ocho de oro  dos de plata y siete de bronce.PremiaciónTras la conclusión del exitoso certamen  se llevó a cabo la premiación  donde las representaciones ganadoras recibieron sus respectivos trofeos. La Copa Internacional ...,si
75,Con espíritu ganador No hay sorpresa en el plan de ataque estructurado por el conjunto de las Águilas Cibaeñas con miras a la venidera temporada 2014-15 de béisbol profesional dominicano -dedicada a Carlos Manuel -Pilindo- Bonetti que iniciará mañana; la consigna es sumar la corona anhelada que no ganan desde hace seis años.La presentación oficial del equipo que defenderá los colores amarillos en la próxima estación de pelota criolla fue efectuada anoche en una concurrida actividad en el restaurant Mosa de aquí.El acto inició con las palabras centrales pronunciadas por el presidente del Consejo Directivo  Quilvio Hernández  quien detalló que el nuevo plantel aguilucho estará conformado por talento joven  fuerte y poseedor de mucha rapidez  por lo que confía plenamente en que esta nueva estructura los llevará a su vigésima primera corona en el béisbol dominicano.“Aquí reina un espíritu ganador y optimista. En las Águilas trabajamos para ser campeones ahora”  precisó Hernández.Agregó que ha sido una labor...,si
76,Gigantes dominan serie; vencen a los Cardenales Un mal tiro del relevista Randy Choate tras un toque de pelota del venezolano Gregor Blanco en la décima entrada derivó en que los Gigantes de San Francisco superaran este martes 5-4 a los Cardenales de San Luis y tomaran una ventaja de 2-1 en la Serie de Campeonato de la Liga Nacional.Brandon Crawford gestionó un boleto en ocho lanzamientos de Choate al comienzo del episodio. Con ello terminó una racha de 16 Gigantes retirados en fila desde que Tim Hudson pegó un sencillo en la cuarta entrada  con dos outs.Luego de que falló en dos intentos de sacrificio  el dominicano Juan Pérez conectó un sencillo  lo que trajo a Blanco a la caja de bateo.El venezolano envió su primer toque a terreno de foul  pero luego dirigió la pelota hacia la izquierda del montículo  y el tiro de zurda de Choate se fue por encima del intermedista Kolten Wong  quien había cubierto la inicial. “No conseguimos nada fácilmente”  dijo el manager de los Gigantes  Bruce Bochy. “Quizás tuvimos un poco de suerte aquí ...,si
77,Butler lleva a Kansas a conseguir tercer triunfo Billy Butler produjo la carrera de la ventaja en el sexto inning  y el bullpen de los Reales resultó tan esplendoroso como dos jugadas defensivas de Mike Moustakas  para que Kansas City venciera este martes 2-1 a los Orioles de Baltimore y se colocara a una victoria de la Serie Mundial.El antesalista Moustakas realizó dos jugadas de fantasía  y los relevistas de Kansas City maniataron a los Orioles para salvaguardar la ventaja mínima. Así  los Reales hilvanaron su décima victoria consecutiva en la postemporada  incluidas siete este año.Kansas City colocará hoy  miércoles  en la lomita a Jason Vargas para el cuarto juego  en el que podría conseguir su primer boleto al Clásico de Otoño desde 1985  cuando se coronó.El mexicano Miguel González lanzará por los Orioles  en busca de salvarlos de la eliminación.La pizarra estaba empatada 1-1 hasta que Wei-Yin Chen permitió que Kansas City colocara corredores en las esquinas en el sexto capítulo. Butler siguió con su elevado de sacrificio an...,si
78,Marcos Kwiek pide centro entrenamiento para voleibol El sexto lugar que ahora ocupa la República Dominicana en el escalafón mundial de voleibol no refleja la realidad que tienen enfrentar las Reinas del Caribe cada vez que entrenan en el Pabellón de Voleibol Ricardo Gloriver Arias.Así lo externó ayer el entrenador de la selección dominicana de voleibol femenino  Marcos Kwiek  quien afirma que para el país aspirar a más en la clasificación mundial de ese deporte  se necesita un centro de entrenamientos destinado a ese deporte.“Alemania  Turquía  Serbia  Tailandia  Rusia  Korea  Polonia  Bélgica  Bulgaria y muchos más que están debajo de nosotros ahora  tienen un centro de entrenamiento”  enfatizó Kwiek durante el CAFE DEPORTIVO del LISTÍN DIARIO.“En el caso de Turquía  tienen cinco  y la cancha es de la Federación  aquí uno va a la cancha y hay una actividad  no tenemos prioridad  a veces llegamos ahí  hay una fiesta o un concierto”  dijo el dirigente brasileño que desde el 2008 se desempeña en ese cargo.Puso como ejemplo que un martes...,si
79,Millsap anota 23 puntos; Horford regresa a juego Paul Millsap anotó 23 puntos y Al Horford hizo su regreso a la cancha para llevar a los Hawks de Atlanta a una victoria de 109-103 sobre el Heat de Miami en un partido de pretemporada el martes por la noche. Chris Bosh lideró a los Heat con 22 puntos y nueve rebotes en 31 minutos. Dwyane Wade jugó 30 minutos y anotó 16 puntos  incluyendo un tiro de 3  mientras caía para vencer el silbato de la primera mitad del encuentro. Horford  un dos veces All-Star  jugó por primera vez en casi 10 meses después de sufrir un desgarro en el músculo pectoral el 26 de diciembre de 2013  en Cleveland. Horford anotó dos puntos y capturó un rebote en 11 minutos y no jugó en la segunda mitad. Miami (0-4)  ganaba por nada menos que 19 puntos en la primera mitad  pero fue superado 43-18 en el tercer cuarto y perdía hasta por 20 puntos en la segunda mitad. Nueva York             84Filadelfia             77(AP) SyracuseCarmelo Anthony anotó 17 puntos en un exitoso regreso a su universidad  y los Knicks de N...,si
80,Las Estrellas con los bríos para competir en grande Los principales ejecutivos de las Estrellas Orientales han trabajado de manera incansable para que en esta ocasión las cosas sucedan de manera favorable para esta franquicia.Un nuevo gerente  algunos rostros nuevos y como siempre un nuevo espíritu competitivo trae el equipo oriental al nacimiento de un torneo de béisbol de la Liga Dominicana en el cual espera estar metido por completo en la disputa por los primeros lugares.“Estamos preparados para hacer que las cosas sucedan a nuestro favor  traer una corona de campeones a San Pedro de Macorís representa nuestra gran meta”  dijo en forma enfática ayer el gerente general de las Estrellas  José Serra  en una conferencia de prensa  en el Estadio Tetelo Vargas  en la cual se ofrecieron detalles sobre la participación de los Orientales en el torneo 2014-2015  dedicado a la memoria de Don Carlos Manuel Bonetti (Pilindo)  el cual comienza este jueves.A juicio de Serra  el pitcheo será clave para que las Estrellas puedan alcanzar la primera...,si
58,Juan Carlos Payano llega hoy al país Inesperadamente “se coló” la noticia de que el jockey  Joel Rosario  ganó   la versión 139 del Kentucky Derby  uno de los tres grandes eventos del deporte hípico de Estados Unidos y el mundo.  Los aficionados a la hípica saben muy bien lo que estoy refiriendo  y aquellos que no pudieron echarle un vistazo al gran ambiente que se vivió el sábado pues la hípica norteamericana tambien convierte sus eventos en acontecimientos sociales  incluída grandes apuestas y desfile de moda. Mientras Joel tiunfa por allá  aquí la hípica colapsó  y el hipódromo V Centenario tiene dos meses cerrados  sin carreras. ¿Qué les parece? Luguelín Santos  corredor de 400 metros   ganó un evento internacional de categoría en  Jamaica   nación de gran prestigio internacional en este deporte. Y la joven pesista  Beatriz Pirón logró 3 medallas de plata en un evento mundialista  lo cual es meritorio. Esos logros se unen  en lo que va de año  a otros como el alcanzado en el clásico mundial de beisbol  que han ser...,si
