id,articulo,clase
52,Xenofobia  una fobia cruel La xenofobia ha sido definida como “toda distinción  exclusión  restricción o preferencia basada en motivos de raza  color  linaje u origen nacional o étnico que tenga por objeto o por resultado anular o menoscabar el reconocimiento  goce o ejercicio  en condiciones de igualdad  de los derechos humanos y libertades fundamentales en las esferas política  económica  social  cultural o en cualquier otra esfera de la vida pública”.Xenofobia es un prejuicio que se manifiesta con odio y rechazo hacia los grupos étnicos diferentes. En las últimas décadas se ha visto una manifestación bastante agresiva de este rechazo  además de exclusión por este motivo  llegando hasta una violencia tan extrema que ha llevado a la muerte de muchos por el simple hecho de “ser diferentes”. Las personas que sufren este tipo de discriminación se ven sujetas a la humillación y el desprecio por parte de los xenófobos; pero la humillación y el desprecio son a veces una manifestación mínima de lo que otros son cap...,no
53,¡A fomentar el hábito del ahorro! En materia de ahorro República Dominicana está avanzando. Padres y maestros deben unificar criterios para  desde diversas perspectivas  contribuir a que los más pequeños desarrollen este hábito. Octubre es una época ideal para hacerlo. Es el Mes del Ahorro.Una orientadora  un padre de familia y un experto en finanzas hablan sobre el tema. Carina Gutiérrez manifiesta que es momento de enseñar a los infantes el valor de las cosas. “Claro  nunca restando importancia a lo importante que son los valores invaluables. Como orientadores  los maestros estamos en el deber de ayudarles a planificarse  inclusive con el dinero que llevan a la escuela”  dice la profesora.Explica que de la mesada que les dan sus padres para la merienda a los más grandecitos  se les puede enseñar a dejar aunque sea una ínfima parte para su alcancía. De esa manera aprenden a ahorrar y a no derrochar un dinero que luego pueden utilizar en otra cosa. Gutiérrez expresa que cuando se pone en práctica la cultura del ahor...,no
54,Los genes que hay detrás de la enfermedad La incidencia del cáncer de mama en República Dominicana es cada vez mayor en los distintos segmentos sociales  y este tipo de cáncer se ha convertido en una gran preocupación en las mujeres  sobre todo aquellas que sobrepasan los 40 años de edad.Claudia de los Santos  cirujana oncóloga y cirujana general  explica que el cáncer de mama generalmente se origina en las células de los lobulillos  que son las glándulas productoras de leche  o en los conductos que transportan la leche desde los lobulillos hasta el pezón. Los tumores más frecuentes son el carcinoma ductal y el lobulillar.De los Santos  miembro del equipo de clínica Abreu  explica que  como el cáncer es el resultado de cambios anómalos en los genes que regulan el crecimiento de las células  la parte modificada adquiere la capacidad de dividirse sin ningún tipo de control u orden  por lo que produce más células iguales y genera un tumor.La especialista  quien es coordinadora de la Residencia de Cirugía Oncológica del Institu...,no
55,Luto y periodismo Era una reportera novata. El responsable del medio en que trabajaba había desestimado una entrevista que les hice a tres hermanos. Ellos denunciaban las amenazas  y el intento de desalojo  por parte de un  hombre ligado al Partido Reformista que  en esa época  estaba en el poder. Al día siguiente de que la entrevista fue engavetada  me mandaron a cubrir  a toda carrera  el asesinato de una señora que había sido tiroteada. Cuando llegué al lugar  resultó que era la madre de los hermanos a los que entrevisté el día anterior. El acoso pasó de las amenazas a la agresión. Como los habían desalojado a tiros  la mujer fue velada en medio de la calle. Lloré mientras me tapaba la cara con la libreta de apuntes para evitar la vergüenza de que la gente viera mis lágrimas. Ese ha sido el funeral más difícil que me ha tocado cubrir como periodista. Pensaba que la publicación de la nota engavetada pudo haber salvado esa vida  pero ya sólo me quedó hacer mi trabajo  y aguantar aquellas miradas de...,no
56,El Salón de los Espejos El domingo estuve en este bar  en el Palacio de Bellas Artes  dizque para contar los espejos y me quedé por un par de horas. Todos los domingos  a partir de las 6:00 de la tarde hasta las 12:00 de la noche el son es el protagonista  junto a los merengues  la salsa y otros ritmos caribeños. Hace mucho quería conocerlo  pero no me “nacía”. Es un lugar acogedor  confortable  claro  como les gusta a los soneros  asequible económicamente y bien familiar  como son los soneros. El coordinador de los domingos soneros es Gustavo Arias  un trabajador incansable  locutor  bailador y promotor de todo lo que tiene que ver con la música antillana. Gustavo era el que activaba la música en el desaparecido Monumento del Son  con un vestir impecable y formal. Luego duró 12 años en Club 60 y hace unos meses mudó su son a este distinguido lugar. Los soneros han sido fieles con su música y con Gustavo  lo siguen donde él se establece. Lo bueno de todo esto es que los soneros se reciclan  ya que cuando t...,no
57,¡A vacacionar para las montañas! Comenzó a sentirse la brisita de otoño  y con ella una sensación de alegría  pues ya falta solo un mes para la temporada navideña y con ella los deseos de hacer cosas nuevas  desde comprar objetos que necesitamos hasta complacernos con unas buenas vacaciones o irnos de excursión. Por eso en esta ocasión nos dirigimos a las montañas  donde predomina el clima frío  el cual es una buena oportunidad para sacar nuestros abrigos y ropa de invierno del clóset  disfrutar del clima y realizar aventuras en los ríos  como montar a caballo  ‘fourwheels’  realizar ‘rafting’ y ‘canyoning’.Jarabacoa ofrece un escenario perfecto para disfrutar de todas esas aventuras y  al mismo tiempo  no dejar de disfrutar de los placeres de la vida en sus acogedores hoteles y cabañitas  probar la exquisita gastronomía en sus diversos restaurantes con una fusión entre lo típico y lo internacional.Dentro de los hoteles de la zona  puedo recomendar algunos como Los Bohíos Campo Añil  donde la naturaleza se comunica...,no
58,A Córdoba en tren por unas horas Entre el Apartahotel Serrano Recoletos y la estación de Atocha tardo media hora caminando a paso rápido. Con una deliciosa temperatura en Madrid  que solo obliga a una chaquetica de punto  me desplazo aspirando el aire tempranero de la sierra que llega a la capital de España. La salida del tren de alta velocidad (AVE) a Córdoba es a las 9:45  pero ya tengo comprado el boleto  por lo cual a las 8:30 de la mañana camino sin prisa. La salida es desde andenes especialmente destinados al AVE. Primero subo unas escaleras mecánicas hacia el lugar donde están los aparatos de rayos X. Chequean igual que en los aeropuertos. En la sala de espera hay tiendas y cafeterías  donde paso los minutos hasta que llaman para revisar el boleto y bajar al andén. El trayecto entre las ciudades dura menos de dos horas. Viajo en clase turista  donde me asombra la comodidad de las butacas  que posibilitan moverlas para descansar los pies en el reposapiés adosado al asiento delantero. Por lo visto  según la ho...,no
59,Fariseos ¡Ay de ustedes  fariseos! ¡Ay de ustedes  juristas!  Hago una excepción refiriendo algo personal. Hay quienes  se autotitulan juristas sin serlo. Pobres de ellos. Por esto me decía un amigo que yo  siendo abogado  había estudiado ciencias religiosas porque era muy difícil que un abogado llegara a alcanzar el reino de los cielos. Esta no es una verdad absoluta  pero sí es aplicable a aquellos que actúan con vanidad e hipocresía. En ellos se esconde un corazón del que han desaparecido la justicia y el amor.,no
60,Malasia: economía islámica fructífera Desde la llegada al país  su aeropuerto internacional  en la capital Kuala Lumpur  reviste la ciudad de modernidad y un marcado buen gusto. Malasia es un Estado con gran desarrollo industrial y por ende económico  con un práctico y útil sistema de trenes  que conecta con toda la provincia. El idioma malayo y el islam son respectivamente la lengua y la religión oficial de la zona. También se habla inglés. Recorrer Malasia es adentrarse a una cultura diversa  organizada y muy trabajadora. Su sistema de poder corresponde a una monarquía electiva constitucional compuesta por una federación. Su jefe de Estado es el Yang di-Pertuan Agong  conocido como el Rey de Malasia.Aunque las leyes establezcan que esta parte geográfica es democrática  existen ciertas reglas que desestiman tal tipo de mandato  ya que el Estado Malasio carece de muchas de las libertades existentes en las sociedades occidentales. La censura es practicada de forma genérica  enfocada contra voces opositoras al gobierno y ...,no
61,Autoexamen de seno Según cifras de la Organización Panamericana de la Salud (OPS)  el cáncer de mama es el cáncer más común en las mujeres y la segunda causa principal de muertes por cáncer en este grupo de población en las Américas. “Unas 400 000 mujeres fueron diagnosticadas y más de 92 000 murieron de cáncer de mama en las Américas en 2010. Si continúan las tendencias actuales  se estima que aumente un 46% en las Américas para el año 2030”  explica la OPS. Por ello  el mensaje que la OPS está promoviendo durante el Mes de la Concientización sobre el Cáncer de Mama es que este cáncer puede ser detectado temprano y tratado con eficacia. El autoexamen de seno es una de las prácticas más efectivas para detectarlo.La página de información de salud MedlinePlus  que ofrece un servicio de la Biblioteca Nacional de Medicina de Estados Unidos recomienda a las mujeres que han llegado a la menopausia realizarse el examen el mismo día cada mes. Ese examen “siempre debe incluir: la inspección visual (con y sin u...,no
62,Un mar de felicidad: las navidades en cruceros ¿No quiere cocinar  adornar la casa  comprar un árbol de Navidad y salir de compras de regalos entre las muchedumbres de centros comerciales en las navidades este año? ¡No hay problemas! Las líneas de cruceros lo esperan con una variedad de itinerarios en noviembre y diciembre en sus barcos que están decorados y listos para las fiestas  incluyendo todo tipo de adornos navideños  comidas tradicionales y entretenimiento especial para la época. Así usted y su familia disfrutan de un ambiente festivo ñ¡y otros trabajan!- Una nota importante: reserve con tiempo  ya que los itinerarios son muy populares. He aquí algunas travesías festivas para considerar esta próxima temporada navideña. Algunas líneas de cruceros  por cierto  comienzan las celebraciones ya desde mediados de noviembre:- Disney Cruise Line ¿Le gustaría un recorrido por el Caribe y las Bahamas con toda la familia? Esta línea ofrece cruceros familiares divertidos con tema navideño (“Very Merrytime Cruises”) de mediados de no...,no
63,¿Por qué a mí? Tras recibir el diagnóstico de una enfermedad catastrófica  como el cáncer  muchos se hacen estas preguntas: ¿por qué a mí? ¿Por qué Dios ha permitido esto en mi vida? En algunos casos los médicos incluso dan un número estimado de días de vida restantes  lo que causa todavía más desconsuelo. En ese momento el apoyo espiritual es invaluable. “Cuando alguien se enferma afecta la familia  afecta el entorno del enfermo y la asistencia espiritual es fundamental pues la persona que recibe un diagnóstico se cae”  explica la coordinadora de Pastoral de la Salud de Santo Domingo Sor María Estela Ángeles.Una oportunidadEl problema de esa caída es que ocurre en estado de ánimo y actitud ante la vida  pero también en materia de fe. La persona cuestiona a Dios por lo que está aconteciendo en su vida. Siente abandono y frustración.Sin embargo  los pacientes de cáncer deben ser capaces de creer que su diagnóstico no significa necesariamente el fin de su vida  sino un nuevo comienzo  una ocasión pa...,no
64,Se eleva nivel del mar El nivel del mar aumentó de forma inusual unos 20 centímetros durante los últimos cien años  un fenómeno que no tiene precedentes en milenios  según un estudio divulgado ayer en Australia.La investigación  publicada en “Proceedings of the National Academy of Sciences”  analiza las fluctuaciones del nivel del mar en los últimos 35 000 años basado en los cambios en el volumen de hielo en la Tierra.“En los últimos 6 000 años antes de que comenzara a aumentar el nivel del agua en la modernidad  el nivel del mar fue bastante estable”  dijo el coautor del estudio  Kurt Lambeck.Durante esos milenios no se han encontrado pruebas de oscilaciones de 25 o 30 centímetros en períodos de cien años o más.,no
65,Marina participará en ‘boat show’ La Marina de Casa de Campo participará por cuarto año consecutivo en el Fort Lauderdale Boat Show a celebrarse del 30 de octubre al 3 de noviembre en la ciudad conocida como la Capital del Mundo del Yate. Este año este evento llega a su 55 aniversario  siendo uno de los más importantes escenarios que reúne a prestigiosos astilleros  ‘brokers’  diseñadores de yates  embarcaciones de pesca deportiva y barcos de vela  entre otros bienes y servicios relacionados con la industria náutica de lujo. La Marina de Casa Campo tendrá un espacio especial con el objetivo de atraer superyates para que visiten el país y disfruten de las facilidades que ofrece este importante destino así como los atractivos del complejo Casa de Campo.CaracterísticasLa Marina de Casa de Campo cuenta con 370 muelles y recibe embarcaciones internacionales de pesca deportiva  yates y megayates de hasta 250 pies que transitan por el Caribe. Según una nota de prensa  las siete localidades del Fort Lauderdale Boat Show est...,no
43,El dibujo en RD Desde los albores ancestrales de la hoy República Dominicana  sus primigenios habitantes  igual que lo hicieron en las cuevas de Altamira y Lacaux  recurrieron al dibujo para transmitir sus ideas  usándolo como fuente de expresión visual y espiritual del arte taíno y como sustancia de la forma. Es la esencia misma de todo cuanto define la cosmogonía de la primera presencia del hombre sobre el universo.Los dibujos expresados en las cuevas del país (Las Maravillas  Borbón  entre otras) llamadas pictografías y que hoy son sujetos de gran admiración  señalaron la forma de expresión del dibujo como la más alta manifestación de gozo que hoy conoce la especie humana asociada a su necesidad de sentir emociones sutiles a través de la mirada  y dejó en su hábitat la memoria visual y en cada línea  en cada forma  utilizó el recuerdo del dibujo como su recurso más inmediato  expresándose según la intensidad de comunicar sus sentimientos y emociones.Así como en la antigüedad fueron las cavernas ...,no
44,Programa ecológico estrena rostro A partir del 17 de octubre  la conducción del programa Mundo Ecológico  que se transmite los viernes a partir de las 8:30 de la mañana por Digital 15  estará a cargo de la periodista y comunicadora Carolina Saddler. Además de entrevistas a expertos e invitados especiales relacionados al tema del medio ambiente; comentarios y noticias  la comunicadora estrenará dos secciones: “Desde aden- tro” (donde la periodista viajará a las provincias en busca de noticias y reportajes turísticos y ecológicos) y “Ecologistas del mundo”  en donde la conductora visitará otros países con el mismo propósito.,no
45,Reforestan cuenca del río Maguaca La cuenca del río Maguaca  en Partido (provincia Dajabón)  está siendo reforestada como parte de una jornada que realiza la Cooperativa Coopbueno dentro de sus programas de responsabilidad social en esta comunidad. En la actividad  encabezada por el presidente de la entidad de ahorro  César Hernández  también participaron el administrador general  José Pablo Gil  y la directora regional del Ministerio de Medio Ambiente en la provincia  Colombina Vargas. Jóvenes y adultos sembraron miles de plantas de distintas variedades  entre ellas caoba nativa  africana y hondureña; pino  corazón de paloma y cedro.,no
46,Malasia: economía islámica fructífera Desde la llegada al país  su aeropuerto internacional  en la capital Kuala Lumpur  reviste la ciudad de modernidad y un marcado buen gusto. Malasia es un Estado con gran desarrollo industrial y por ende económico  con un práctico y útil sistema de trenes  que conecta con toda la provincia. El idioma malayo y el islam son respectivamente la lengua y la religión oficial de la zona. También se habla inglés. Recorrer Malasia es adentrarse a una cultura diversa  organizada y muy trabajadora. Su sistema de poder corresponde a una monarquía electiva constitucional compuesta por una federación. Su jefe de Estado es el Yang di-Pertuan Agong  conocido como el Rey de Malasia.Aunque las leyes establezcan que esta parte geográfica es democrática  existen ciertas reglas que desestiman tal tipo de mandato  ya que el Estado Malasio carece de muchas de las libertades existentes en las sociedades occidentales. La censura es practicada de forma genérica  enfocada contra voces opositoras al gobierno y ...,no
47,Semanas de España en RD Octubre es el Mes de la Hispanidad y  entre las actividades y ofertas que tienen lugar en el país  Cava Alta ofrece cinco muy buenos vinos españoles con diez por ciento de descuento. Entérate llamando al 809-518-9000. A su vez Casa Ávila  en Blue Mall  mantendrá hasta este domingo 19  el menú preparado por el chef Antonio Cosmen  autor del “El mejor cocido de España”  que estuvo en dicho restaurante del miércoles 8 al domingo 12. Taller de alebrijesLos alebrijes son animales fantásticos  y para realizarlos en papel periódico y papel maché pintados y decorados  tus niños/as entre seis y 12 años de edad podrán asistir al taller de este sábado en el Museo Bellapart. Llama al 809-541-7721  extensión 296  o escribe a info@museobellapart.com.Bazar artesanal este fin de semanaArtesanos de diferentes regiones del país estarán en Madé  desde mañana viernes y hasta el domingo inclusive. Encontrarás conservas  mermeladas  piezas talladas en madera  textiles y alfarería. ¡Para regalar o para au...,no
48,La matanza de los inocentes Murieron once niños pequeños en el hospital Robert Reid  otros dicen que fueron dieciocho; la noticia le cayó como un mazazo a Emma  como le sucedió a la mayoría de los dominicanos  incluyendo al Presidente. Empezó a quejarse bajito cuando se enteró por la radio  como siempre que se entera de una noticia demoledora  esa queja fue subiendo de tono hasta que prorrumpió en lamentos fortísimos. Acudí a enterarme de qué le acontecía y no pude menos que solidarizarme con mi fiel cocinera. El antiguo hospital Angelita  rebautizado después de la muerte de Trujillo  fue durante largo tiempo la perla de la corona en cuanto a atención médica se tratase  los más distinguidos médicos pediatras dominicanos se enorgullecían de prestar sus servicios en aquel centro de salud  durante largos años fue dirigido por uno de los más prestigiosos médicos del país  Hugo Mendoza  catalogado como uno de los cien mejores facultativos del mundo. El prestigio del hospital se mantuvo íntegro hasta hace poco tiemp...,no
49,Otoño Es otoño... las hojas caen en mi patio y forman una original alfombra de seres sin  o con muy poca  vidaÖ pero es hermoso  cubren las imperfecciones  disimulan la humedad y se confunden con el sucio para restarle importancia.Refresca mirar el panorama que invita a descansar  a tranquilizarnos  aunque también  a sentir nostalgia al saber que esas hojas que con dignidad caen se vistieron de los más hermosos colores para despedirse de la vida.Es otoño... aires de una nueva etapa del año se sienten en muchas partes del mundo  menos aquí en República Dominicana  donde la temperatura ni se entera  y el calor sigue siendo el dueño de nuestro clima. Menos aquí  donde la desesperanza crece en un pueblo en el que la alegría es un tren que abordamos de vez en cuando para escaparnos de nuestra realidad: un país en manos de unos cuantos irresponsables y muchos otros desfalcadores  que actúan indolentes ante el dolor de Duarte. Menos aquí  donde la piedad pasó a segundo plano  el afán de fama y f...,no
50,Kairós “El Señor da a conocer su victoria”. Las maravillas que Dios hace con y para nosotros son innumerables. La victoria de Dios es exclusivamente salvación  que se manifiesta o demuestra cuando actúa por amor  por lealtad y fidelidad para los que creen en él. En verdad  solo el amor de Dios hace comprender cuán privilegiados somos de conocer su plan maestro de salvación.,no
51,La llamada agraciada De camino hacia su destino  un timbre sobresale. El número desconocido aparece en la pantalla de su celular. Al tomar la llamada  se escucha una voz masculina  amable  que con gran astucia le saca informaciones básicas. Cosas tan sencillas que parecen poco importantes  pero que son la herramienta adecuada en manos poco amistosas. ¿Cuál es tu nombre completo? ¿Dónde vives? ¿A qué te dedicas? Son las interrogantes que  con la habilidad felina  se escuchan desde el receptor móvil de aquel joven. Después del corto interrogatorio  aparentemente inocente  donde hasta el más desconfiado accede a responder  viene el meollo de tanta palabrería: “Señor ‘fulano’  usted ha sido el agraciado. Es el ganador de 100 000 pesos y órdenes de compras en la compañía ‘zutana’ como un premio por su lealtad a la institución ‘mengana’. La señal en forma circular con tono rojo vivo que se activa en los semáforos para frenar ante la advertencia que algo raro va a pasar  fue la misma que pasó por la mente de a...,no
52,Libros aliados a la decoración La revolución es una característica del siglo XXI. Por ello  cada vez más nuevos elementos son integrados a la decoración. Los libros no son la excepción de estos cambios ornamentales. Habitación  cocina  centros de mesa y salas son los escenarios más comunes para su exhibición.Aparte de la función básica que tienen los libros (enseñar y culturizar)  también sirven para crear un ambiente armonioso y engalanar el entorno. Además de que son una alternativa muy eficaz para aquellos amantes de la lectura y con poco espacio para colocar sus obras.Embellecer con originalidadExisten muchos trucos para adornar. Vielka Batista  arquitecta  manifiesta que colocar los libros apilados como torre visualmente trasmite estilismo. “El complemento de los libros con el resto de los elementos decorativos es ideal para cubrir espacios. Por ejemplo  entre los marcos de las puertas  techos o pasillos”.Sin embargo  no es tan sencillo como parece  y el truco está en tener una temática y ordenar bien los co...,no
53,Paredes vivas Las nuevas tendencias en papeles pintados nos devuelven a plena naturaleza. La pintura tiene su espacio  pero el papel y sus texturas siguen logrando adeptos. Texturas  colores y dibujos se alían  juntos o por separado  para lograr una atmósfera cálida y agradable.La firma italiana Élitis titula El Dorado  Vuelta a los Orígenes su nueva colección  incubada en el centro de una reserva natural y cuyo objetivo es hacer que se incorporen a nuestros sentidos tonos y texturas que nos acercan a bosques encantados y a un mar intenso.“La naturaleza ha sido nuestra fuente de inspiración y a través del papel libera la esencia de sus materias vegetales”  señalan desde la firma. Una colección que se instala en “Atelier d’artiste” la rafia que deja filtrar su tejido bajo los tintes naturales  colores brillantes en un enlucido de cal o yeso  que se teje en una superposición aleatoria.Tintes naturalesEn “Isola”  inspirada en la corteza de Abacá  secada y delicadamente ensamblada  se reiventan los t...,no
