id,articulo,clase
27,Medina decidirá si da plazo a ley Esta semana el presidente Danilo Medina decidirá si se procede a prorrogar la fecha para aplicar la Ley 169- 14 sobre Naturalización  la cual vence este 28 de octubre  y hasta la fecha  ha logrado la inscripción de 1 035 extranjeros.Así lo confirmó ayer a Listín Diario el ministro de Interior y Policía  José Ramón Fadul  quien especificó que este es un procedimiento que no es obligatorio  sino opcional para quien quiera asistir  a diferencia del Plan Nacional de Regularización de Extranjeros  que sí es necesario.“La ley es opcional. Aquellos que quieran optar para posteriormente buscar su naturalización  pueden optar  si tienen el derecho  que es hasta abril del 2007  porque después de esta fecha la Junta Central Electoral cierra el libro de extranjería  o sea  que de ahí en adelante no puede ser”  explicó.Regularización Mientras que el segundo nivel del edificio Juan Pablo Duarte  que se utiliza para ejecutar el plan de regularización  también acoge decenas de extranjeros  en espec...,no
28,Ricos y riquezas (XX) Cuántas veces oímos frases como esta o parecida a ella  “Soy rico  me he enriquecido  nada me falta”. Esta frase es muy actual  pero ya fue pronunciada hace dos mil años  y la recogemos en el Apocalipsis  el último libro de la Biblia  capítulo 3  versículo 17.Esa experiencia de las personas que ponen todo su apoyo en las riquezas es continuo y de cada día  y es un peligro para todas las personas. “Soy rico  puedo resolver todos mis problemas”  pero cuando pasa el tiempo  se descubre que todos los problemas no se resuelven de esa manera.No se puede comprar el amor  no se pueden comprar los valores  no se pueden comprar con el oro y las riquezas todo lo que uno piensa o quisiera.Por eso hemos de volver a la realidad  sabemos que hay personas que han tenido muchas carencias en la niñez o en sus vidas  y entonces  al tener esas inseguridades que les vienen de atrás  buscan su apoyo en las riquezas  en realidad necesitan sanarse  sanarse interiormente para que pongan su apoyo en lo que e...,no
29,Desarrollo con igualdad Abraham Lincoln  político y presidente de los EEUU  sentenció: “Todos los hombres nacen iguales  pero es la última vez que lo son”. La esencia contenida en esta frase refleja que la igualdad  aun cuando es una aspiración legítima de toda sociedad  es un valor difícil de alcanzar. ¿Cuantas veces nos hemos sentido discriminados en el ejercicio de nuestros derechos y en el acceso a las oportunidades que permitan un justo desarrollo individual y colectivo? La consagración jurídica de la igualdad humana como prerrogativa individual garantizada por el Estado  deviene como efecto de la Revolución Francesa y la Declaración de los Derechos del Hombre  primer intento de codificación de los derechos individuales universales que consagró con rango de ley   en el plano teórico  la igualdad natural del hombre respecto de sus semejantes.  No obstante  tres siglos después  la desigualdad ha sido la constante y es el problema “más urgente” que debe afrontar América Latina y el Caribe.  Históricament...,no
30,La salud está enferma La crisis del hospital Robert Reid Cabral es un botón de muestra del sistema de salud. No sólo de los establecimientos. Además de recursos económicos están involucrados la ética y la supervisión. La peor parte la carga el gobierno con su pesada forma de moverse y el que se complace en decisiones políticas más que soluciones vitales.El presidente Danilo Medina cortó por lo sano con el problema de las muertes de los niños. Despedidos y ya. Parecería que esto zanjaría el problema. Resultaría pues  desde esa óptica  que los culpables eran los dirigentes del Ministerio de Salud y del hospital  respectivamente. Así qué fácil es. Pero resulta que no es así. El tema es más profundo y le podrán poner un paño tibio por cura pero la infección saldrá. Ahí está el hospital Vinicio Calventi. Los galenos amenazan con parar sus labores por falta de facilidades. ¿Qué harán? No pueden culpar a la recién nombrada Ministro ¿o cancelarán al director de ese hospital?En el Robert Reid hay un récord imbati...,no
31,Conflicto por una ruta del transporte Sentencia 130/14 La Asociación de Propietarios de Carros Rivera del Ozama (ASOPROCARRO) presentó una acción de amparo en reclamo de que se le permita operar una ruta del transporte público. La accionante consideró que la Autoridad Metropolitana de Transporte (AMET) violentó su derecho  al emitir una comunicación dirigida al señor Juan Hubieres  para evitar que la ruta 96-C circule sin la debida autorización. La entidad interpuso su acción de amparo ante el Tribunal Superior Administrativo (TSA)  el cual la declaró inadmisible por existir otra vía para hacer su reclamo  por lo que recurrió la decisión ante el Tribunal Constitucional  con la esperanza de que sea anulada.  El TC emitió la sentencia 130/14  con la cual rechazó el recurso de revisión de amparo y confirmó la sentencia del TSA. Observó que con la acción se busca anular una comunicación expedida por un funcionario público en representación de la AMET  por lo que entendió que el juez de amparo realizó una correcta aplicación...,no
32,Tiempo para el alma Solemos perdernos en las salidas rápidas  en lo aparentemente oportuno. Vamos llenando huecos  poniendo parches  tapando baches. A veces  pero no muy pocas  nos hacemos miopes funcionales; resolvemos  pero solo lo estrictamente cercano  y lo resolvemos bien  pero no logramos ver más allá  nuestra visión limitada por el ahora  no nos permite mirar el horizonte; nuestra inmediatez no nos permite ser sostenibles  por eso nos derrumbamos cuando queremos poner la siguiente pieza y no hay lugar para ella  entristecemos cuando la corta perspectiva que hemos trazado no cubre nuestras expectativas. Mis queridos lectores  los circunstanciales son esos que llegan a nuestras vidas en determinado momento con un rol específico y precisamente circunstancial  nada más; no hay un lazo real con esas personas. Quizás ni siquiera recuerdan la última conversación o no se dieron cuenta de que estuviste enfermo  ellos cumplen una misión específica. Tu tarea  nuestra tarea  es dejar algo positivo y grato e...,no
33,....Y somos los malos “Devuelven en un mes más de tres mil haitianos”. Así reza el titular de la foto principal de portada de la edición de este martes de Listín Diario. Ya el día anterior  la prensa reseñaba que según estadísticas del Cesfront entre 150 y 200 haitianos son deportados a diario por la frontera de Dajabón  tras  entrar ilegalmente a territorio dominicano por esa zona.Otra reseña periodística ñel lunes de esta misma semana en el Listín- revela cómo “se incrementa la participación de haitianos en delitos en el país”  indicando el detalle de que hasta este mes estos “se han cobrado la vida de más de treinta de sus compatriotas  así como de varios dominicanos” y que entre las víctimas hay ancianos  niños de cuatro y ocho meses de nacidos y adolescentes “que fueron acuchilladas  violadas y estranguladas”.Y también se reseña que 74 775 se han acogido al Plan Nacional de Regularización  mientras que sobre los nacidos aquí  hijos de padres en condición de ilegales y que fueron inscritos irregularm...,no
34,Autoridad en los hospitales EL ÁNIMO.- La información de los once niños muertos un fin de semana en el hospital Robert Reid Cabral  llegó primero a la calle que al Palacio Nacional. Cuando el presidente Danilo Medina se enteró y se puso en shock  hacía rato que en la población y por diferentes vías se demandaba que los responsables pagaran ipso facto la culpa. No se pedía investigación ni informe  sino el consabido corte de cabezas. Mira que el rey  nada. Mira que la reina  nada. Mira que Robespierre  nada. El terror primero  y después se observarían los rangos. Se quería sangre como cuando se asiste a una corrida de toros. No importaba si era del animal o de quien hacía la faena. El presidente  fuera por el impacto emocional  o la investigación  o el informe  o la comisión  o por populismo  o por marketing  satisfizo el morbo. Querían mambo  y tocó la versión más violenta. Y sin embargo  a poco la propia gente recapacitó  y se dio cuenta de que al gobierno le iba a salir muy barato. Entonces apuntó mejor. Se ...,no
35,¡Dr. Jung  quieren destruir la Patria! Creemos en la Pangea Racial y Espiritual que en un futuro muy  muy lejano unirá pueblos y naciones en una sola Raza  una sola Religión y una sola Bandera... pero hoy  ahora  en esta etapa histórica de nuestro pueblo  debemos preservar nuestra Soberanía  la pura dominicanidad; rechazar el espejismo malsano de adoptar costumbres y panteones de culturas foráneas que tangencialmente incidieron en un momento crítico de la historia dominicana;  los movimientos fusionistas  o peor aún  los que engañan al pueblo con ingenuos subterfugios de “sensibilidad cristiana y social” o se parangonan en una supuesta fraternidad territorial con el fin de unificar pueblos con costumbres  símbolos y valores totalmente diferentes  y aun más profundo; con Arquetipos del Inconsciente Colectivo de naturalezas diametralmente opuestas unos y otros; ¡son los enemigos de la Patria! Lo más grave aún  es que como culebras venenosas salen de noche de nuestras propias entrañas y reptan en la oscuridad  ¡¡para atacar...,no
36,El pecado de Félix Bautista Si Félix Bautista fuera un anodino y no un triunfador como profesional  como empresario  como político  como amigo  como compañero… nadie le hiciera “puto caso”  como dicen los españoles… … No lo mencionaran ni lo tomaran en cuenta ni siquiera para insultarlo  para denostarlo  para degradarlo. Porque  desgraciadamente  el éxito está prohibido en nuestro país. El precio es muy costoso: la injuria pública  el estigma social  la vergüenza familiar.Félix Bautista ha salido de abajo  enfrentó con uñas y dientes la pobreza  estudió con mil limitaciones y se hizo profesional de la ingeniería; le ha ido bien en la política  ha prosperado en sus negocios –todos vinculados a la construcción  primero como ferretero y luego como desarrollador–  y paralelamente se ha cultivado intelectualmente  con sencillez  sin ruido  sin vicios  sin hacerle daño a nadie… Pero es  probablemente  uno de los dominicanos más acosados por la maledicencia pública  por el chisme  por la intriga artera  por la envidi...,no
