id,articulo,clase
100,España fue elegida como destino del mes Con ocasión de la fiesta nacional de España  ejecutivos de Gestur  Ágora Mall  Air Europa y Europamundo Vacaciones celebraron la segunda edición de “Las semanas de España en República Dominicana”. La actividad consistió en presentar atractivas actividades culturales y ofertas para viajes turísticos a España.Theresa Sullivan  gerente general de Gestur dijo: “Nos unimos con mucho entusiasmo a la celebración de este evento que busca promover el turismo de esa nación europea  la cual es mundialmente conocida por su cultura  historia y su gastronomía. Además  España representa el tercer mayor destino turístico del mundo  y es el segundo país en términos de patrimonio universal de la UNESCO”.Sullivan agradeció la presencia y colaboración de la embajada de España en República Dominicana  representada en esta ocasión por Fernando Mier  consejero económico y comercial de la embajada de España en el país.“Las Semanas de España en República Dominicana constituyen una ocasión sin precedentes pa...,no
101,Renuevan local  Merengue bar Con el interés de mostrar su nuevo espacio y decoración  el restaurante  Merengue bar  del hotel Jaragua  realizó un coctel para presentar sus instalaciones  sus representantes y las variedades en el menú. Adelma Lora  gerente de Mercadeo  explicó las novedades que estarán ofreciendo al público  entre ellas: nuevos platos  atracciones artísticas y bebidas exclusivas. La ejecutiva señaló que tendrán diversas ofertas para la celebración de cumpleaños  fiestas temáticas y actividades empresariales. “El local cuenta con una capacidad para 200 personas  por lo que es el lugar ideal para realizar eventos privados  sobre todo en esta época navideña”  indicó Lora.Sobre el negocioMerengue bar es un espacio de diversión dentro del mundo del entretenimiento que tiene El Gran Hotel Jaragua. Cuenta con una excelente ambientación  ofertas gastronómicas variadas  bebidas y buena música.,no
102,Un galardón dedicado a los líderes del 2014 argentum  empresa dedicada a la provisión de servicios de ingeniería de software  recibió el premio empresarial internacional The Bizz 2014  entregado por Nicolás Cáffaro en representación de la World Confederation of Businesses  en reconocimiento a su excelencia empresarial. El galardón los distingue como una de las empresas más destacadas de República Dominicana. La actividad fue realizada en el hotel Crowne Plaza y presidida por directivos y miembros fundadores de Argentum.DiscursoSebastian Denardi  en representación de la empresa  agradeció a los presentes por el apoyo que han recibido.El ejecutivo también reiteró el compromiso de la organización de proveer a los clientes de Argentum servicios profesionales en procesos para áreas de tecnología  desarrollo de sistemas a medida y productos de software   focalizados en la calidad y excelencia profesional.,no
103,Presentan nueva imagen empresarial La Administradora de Riesgos de Salud (ARS) APS presentó formalmente su nuevo y moderno kit corporativo de salud  que ya lanzó al mercado. Además  dio a conocer su nueva página web y su estrategia de comunicación a través de las redes sociales para beneficiar a todos sus afiliados en el Plan Básico de Salud en el ámbito nacional.El producto fue creado exclusivamente para afiliados del plan básico y contiene un sobre diseñado en el exterior con los signos distintivos de la empresa  etiquetado con el nombre del afiliado. Eliana Díaz  vicepresidenta ejecutiva de la empresa  destacó el compromiso que tienen con sus clientes  además de resaltar la importancia del cambio de imagen como parte de su crecimiento en el mercado asegurador.,no
104,Cáncer de mama afecta a todosluchemos por detenerlo ¡Feliz vida  mis queridos lectores!  De reconfortante  comprometida y solidaria puedo calificar  la campaña publicitaria que acaba de auspiciar la senadora Cristina Lizardo Mezquita  presidenta del Senado de la República  con motivo del Mes del Cáncer de Mama   bajo el título “El cáncer de mama nos afecta a todos  luchemos para detenerlo”. Como sobreviviente de esta enfermedad  Cristina emerge como una guerrera  que motiva y sirve de inspiración para quienes la padecen. Ella  con su fortaleza y amor a la vida  demuestra con su ejemplo que de la mano de la prevención la vida puede continuar.   En el transcurso de un agradable desayuno donde se dieron cita influyentes líderes de opinión femenina   se hizo el lanzamiento.  No cabe duda que  con esta campaña  persiguen  llevar a la población  un mensaje más concientizador y eso lo demuestra  el  spot publicitario donde aparece la presidenta del Senado junto a otras senadoras.  Ellas se han  comprometido llevar este mensaje a sus comunid...,no
105,Planificarse para recibir Estas semanas he estado en un patín. Haciendo diligencias  impartiendo talleres  coordinando  desde aquí  el Taller de Etiqueta en Nueva York de la próxima semana  más el recibimiento de visita extranjera en casa. Muchas cosas sucediendo al mismo tiempo que me tienen bastante entretenida. Cuando recibimos visitas de fuera son tantos los detalles que hay que tomar en cuenta que si no nos planificamos  posiblemente quedemos mal ya sea en el trabajo o con nuestros compromisos personales  nos sintamos nerviosos o estresados  o nuestra visita  quizás  no se sienta a gusto. Por eso algo fundamental para poder resolver es usar la agenda. Desde las diligencias del trabajo  los detalles que pondremos en la habitación de nuestro huésped  hasta los compromisos personales  e itinerario que prepararemos para nuestro visitante es bueno tenerlos todos anotados. Les cuento que esta semana mi agenda ha sido mi mejor amiga (además de mi mamá  claro  que me resuelve ¡tantas cosas!). ¿Qué desayunará nu...,no
106,Aires navideños en Plaza Lama Con una amplia variedad de adornos  elementos y detalles alusivos a la temporada  ejecutivos de Plaza Lama dieron la bienvenida a la Navidad  una mágica época llena de alegría  luz y color para los dominicanos.El portafolio trae una colección de grandes bolas  arbolitos  flores y las hermosas piezas de renos tanto en cristal como en plata  además de otros artículos en colores y tonalidades típicos de estas fiestas  explicó Elsa Lama de González  vicepresidenta de la tienda  en el lanzamiento realizado en sus instalaciones de la 27 de Febrero con Churchill.“Plaza Lama Navidad 2014 es como se denomina la temporada que celebra el nacimiento del niño Jesús”  externó Lama  y añadió que habrá especiales de temporada. ORFERTA. El catálogo incluye temas infantiles  como peluches y bolas combinadas  en colores rojo  verde y dorado,no
107,Vive la música El pasado viernes República Dominicana vivió la música en todo su esplendor. Fue el primer día del Festival Presidente  evento que hará su cierre hoy en el Estadio Olímpico Félix Sánchez.Como en cada ocasión  el público asistió con muchas expe c t a t ivas   que al parecer les fueron complacidas. Desde las 4:00 de la tarde el estadio estuvo abierto. El espectáculo se inició a la hora pautada: 7:30 de la noche.Los ritmos musicales en aquellas horas fueron orientados a un público de espíritu joven. El Boli  Hony Estrella y Jochy Santos fueron los presentadores del concierto.Para dar inicio al espectáculo se hicieron un selfie y de ahí en adelante todo fue celebración y energía expresadas. La velada duró hasta el amanecer. Escenario El montaje incluyó impresionantes luces  tarima de inmenso tamaño y pantallas que proyectaban todo el acontecimiento.,no
108,La nueva línea de Pinturas Tropical Continuando con su compromiso de ofrecer otras opciones a sus consumidores a la hora de embellecer su hogar o espacios  ejecutivos de Pinturas Tropical lanzaron la línea “Tropical Plus”  una propuesta 100% acrílica. La nueva oferta fue presentada en el Convention Center del hotel Barceló Bávaro Palace Deluxe  lugar que fue ambientado con detalles alusivos a la marca.La actividad fue encabezada por José Luis Corripio Estrada y José Alfredo Corripio  presidente y vicepresidente de Pinturas Tropical  respectivamente  quienes junto a Guillermo Gutiérrez  director de Ventas; y Jorge Rivas  gerente de la marca  compartieron con los invitados los beneficios que trae consigo el nuevo producto.  José Aníbal Peralta  director de Mercadeo  al resaltar el compromiso de la empresa con el país dijo:  “Estamos entregando a los consu-midores un producto de calidad que va acorde con el amplio desarrollo de las construcciones y edificaciones de nuestro país”.“Pinturas Tropical Plus 100% acrílica tien...,no
109,Logros contra la glaucoma El Instituto Contra la Ceguera por Glaucoma (Incocegla) celebró su 18 aniversario durante un coctel-conferencia  en el que se  evidenciaron los logros alcanzados por la entidad  así como las actividades que han realizado en busca de detectar y evitar los problemas visuales por glaucoma.Durante la actividad realizada en el hotel Holiday Inn  Tomás Vargas  director del Incocegla  dijo que la institución se creó con la finalidad de proveer a pacientes de escasos recursos una atención de primera  con médicos capacitados y tecnología de punta  sin incurrir en altos costos.“Desde el año 1996  estamos brindando asistencia a personas de escasos recursos  a las cuales se les han  practicado cirugías y tratamientos a bajo costo”  dijo Vargas. objetivo. La entidad ha asistido a más de 200 000 pacientes que han llegado de las diferentes provincias del país con problemas visuales.,no
